,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,4875395191,Morning Run,2021-03-02T06:52:23Z,Run,8680.8,3305,3310,83.1,"[52.46402, -2.143575]",garmin_push_6359146093
1,4864689964,Long Slow Run,2021-02-28T09:41:26Z,Run,19788.9,8019,8024,262.2,"[52.464004, -2.143533]",garmin_push_6348658579
2,4854294293,Afternoon Run,2021-02-26T16:43:40Z,Run,8576.2,3251,3262,87.1,"[52.463995, -2.143573]",garmin_push_6338479836
3,4848466785,Afternoon walk,2021-02-25T15:58:39Z,Walk,5007.3,3376,3609,92.4,"[52.463987, -2.143742]",garmin_push_6332771649
4,4842584642,5 x 1k intervals,2021-02-24T16:03:13Z,Run,10013.9,3348,3351,61.5,"[52.46473, -2.144595]",garmin_push_6326996374
5,4836675408,Afternoon Run,2021-02-23T16:37:17Z,Run,6489.8,2501,2516,84.3,"[52.46396, -2.143588]",garmin_push_6321175102
6,4831260661,Afternoon walk,2021-02-22T17:40:01Z,Walk,2801.4,1470,1487,35.0,"[52.464071, -2.143493]",garmin_push_6315720771
7,4825157065,Ride with Andy,2021-02-21T13:28:49Z,Ride,35209.3,6192,6815,463.3,"[52.46409, -2.14359]",garmin_push_6309545840
8,4816099223,Morning Run,2021-02-20T09:07:29Z,Run,15240.5,5980,6029,127.8,"[52.464127, -2.143383]",garmin_push_6300841827
9,4807886699,Progression Run,2021-02-18T16:15:39Z,Run,10484.1,3723,3743,120.6,"[52.462275, -2.14368]",garmin_push_6292544059
10,4802314939,Afternoon Run,2021-02-17T15:18:56Z,Run,9011.3,3415,3441,87.2,"[52.464014, -2.143497]",garmin_push_6286981036
11,4797302267,Afternoon Run,2021-02-16T16:50:03Z,Run,5180.2,1924,1924,37.0,"[52.462274, -2.143678]",garmin_push_6282098705
12,4785149385,Walk with Rachel,2021-02-14T11:00:49Z,Walk,2697.5,2466,2597,57.0,"[52.445702, -2.18521]",garmin_push_6270084241
13,4781898316,Afternoon Walk,2021-02-13T17:09:26Z,Walk,3331.1,2686,2756,69.6,"[52.445081, -2.185373]",garmin_push_6266800554
14,4774124626,Morning Run,2021-02-12T08:32:05Z,Run,9471.1,3574,3586,93.0,"[52.464032, -2.143526]",garmin_push_6259014289
15,4763789326,Tempo Run,2021-02-10T07:08:07Z,Run,8698.8,3087,3087,89.1,"[52.464007, -2.143542]",garmin_push_6248712737
16,4761195521,Easy Run,2021-02-09T17:13:34Z,Run,6768.8,2685,2694,84.6,"[52.463994, -2.143538]",garmin_push_6246151863
17,4758623728,Indoor Ride,2021-02-09T07:34:00Z,Ride,20102.6,3468,3468,0,,garmin_push_6243534801
18,4756452869,Evening Walk,2021-02-08T18:08:12Z,Walk,5393.7,3012,3012,61.1,"[52.464066, -2.143501]",garmin_push_6241353524
19,4754168319,Quick KB workout,2021-02-08T10:08:01Z,Workout,0.0,735,735,0,,garmin_push_6238966515
20,4750724616,Afternoon Ride,2021-02-07T13:06:58Z,Ride,27352.8,5643,7095,449.8,"[52.464056, -2.143553]",garmin_push_6235499440
21,4745802504,Afternoon Run,2021-02-06T16:41:13Z,Run,10555.5,4109,4114,130.9,"[52.463991, -2.143508]",garmin_push_6230713121
22,4738787549,Afternoon Run,2021-02-05T14:13:52Z,Run,8636.6,3298,3314,89.0,"[52.463979, -2.143539]",garmin_push_6223855368
23,4734730456,Indoor Ride,2021-02-04T18:08:46Z,Ride,16525.5,2770,2770,0,,garmin_push_6219893853
24,4728841022,Afternoon Run,2021-02-03T17:03:17Z,Run,10455.4,4157,4157,126.1,"[52.464002, -2.143581]",garmin_push_6214147521
25,4724306382,Indoor Ride,2021-02-02T20:20:14Z,Ride,20073.7,2785,2785,0,,garmin_push_6209700589
26,4717313822,Hard 5k,2021-02-01T15:57:45Z,Run,5009.5,1604,1619,31.5,"[52.461175, -2.147015]",garmin_push_6202796929
27,4711041189,Indoor Ride,2021-01-31T11:46:49Z,Ride,30003.3,4983,4983,0,,garmin_push_6196647434
28,4706437778,Afternoon Run,2021-01-30T15:58:08Z,Run,11601.2,4602,4606,120.1,"[52.463919, -2.143497]",garmin_push_6192170256
29,4696530529,Threshold Run,2021-01-28T18:58:32Z,Run,6939.7,2387,2387,83.0,"[52.464103, -2.143536]",garmin_push_6182418679
30,4690268000,Afternoon walk,2021-01-27T15:37:36Z,Walk,3699.9,2687,3162,44.5,"[52.464002, -2.143622]",garmin_push_6176268078
31,4679385831,Snowy Afternoon Run,2021-01-25T14:21:51Z,Run,11775.5,5174,5219,145.4,"[52.464011, -2.143524]",garmin_push_6165369671
32,4674827695,Afternoon Walk,2021-01-24T14:43:02Z,Walk,6599.9,4250,4279,66.8,"[52.464025, -2.143678]",garmin_push_6160687728
33,4669126229,"Run, walk run",2021-01-23T16:00:24Z,Run,9964.5,4384,4441,102.1,"[52.46433, -2.143633]",garmin_push_6155172549
34,4657889473,Afternoon Run,2021-01-21T16:12:30Z,Run,7846.2,3128,3141,79.8,"[52.464007, -2.143515]",garmin_push_6144296632
35,4650590117,Morning Run,2021-01-20T08:23:46Z,Run,6445.1,2492,2495,82.1,"[52.463216, -2.143184]",garmin_push_6136949432
36,4640993336,Lunch Run,2021-01-18T12:17:26Z,Run,9673.1,3799,3816,92.8,"[52.463969, -2.143526]",garmin_push_6127418435
37,4637122594,Indoor Ride,2021-01-17T14:12:49Z,Ride,45016.3,7785,7785,0,,garmin_push_6123545311
38,4629303570,Lunch Run,2021-01-16T12:48:28Z,Run,4546.9,1694,2011,53.4,"[52.460466, -2.148512]",garmin_push_6116098669
39,4625721732,Indoor Ride,2021-01-15T18:04:41Z,Ride,22428.4,3603,3603,0,,garmin_push_6112476784
